osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,edge_id,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium
"[42917684, 1412987029]",residential,,Vordere Heide,False,True,293.18791845811006,30.0,35.182550214973205,30,,"LINESTRING (6.6826104 49.8123049, 6.6827704 49.812371, 6.682797 49.8123858, 6.6828971 49.8124441, 6.6829087 49.8124508, 6.6830483 49.812547, 6.6831889 49.8126567, 6.6834547 49.8128816, 6.6837179 49.8131005, 6.6838556 49.8132191, 6.6839791 49.8133236, 6.6841572 49.8134591, 6.6843307 49.8135883, 6.6845082 49.8137086, 6.6847037 49.8138302, 6.6848662 49.8139288, 6.6850271 49.8140336, 6.6853599 49.8142421)",,,,,,"[42917684, 1412987029]",,,,,False,,,,,False
42917685,residential,,Vordere Heide,False,True,190.71485520429962,30.0,22.885782624515954,30,,"LINESTRING (6.6874375 49.8135912, 6.6872849 49.8136959, 6.6871602 49.8137957, 6.6870623 49.8138838, 6.6870066 49.8139602, 6.6869372 49.8140574, 6.6869035 49.8141267, 6.6868694 49.814205, 6.6868474 49.8142865, 6.6868372 49.8143643, 6.6868297 49.8144088, 6.686828 49.8144583, 6.6868306 49.8145625, 6.6868487 49.8147625, 6.6868621 49.8148651, 6.6868828 49.814967, 6.6869078 49.8150823, 6.6869121 49.8151427, 6.6869067 49.8151897)",,,,,,42917685,,,,,False,,,,,False
"[42917683, 548333596]",residential,,Vordere Heide,False,False,252.58688964097055,30.0,30.310426756916463,30,,"LINESTRING (6.6853599 49.8142421, 6.6853879 49.8142193, 6.6854095 49.8141984, 6.6854225 49.8141858, 6.6854875 49.8141021, 6.6855468 49.8140231, 6.685608 49.8139485, 6.6857358 49.8137954, 6.6857885 49.8137365, 6.6858486 49.8136766, 6.6859715 49.8135646, 6.6862129 49.8133401, 6.6861013 49.8133079, 6.6852859 49.8131265, 6.6852764 49.8131236, 6.6848725 49.8130008, 6.684483 49.8128722)",,,,,,"[42917683, 548333596]",,,,,False,,,,,False
548333595,residential,,Vordere Heide,False,True,153.1020121670877,30.0,18.372241460050525,30,,"LINESTRING (6.6853599 49.8142421, 6.6861275 49.8146899, 6.6862973 49.8147935, 6.6864556 49.8148938, 6.6867699 49.815107, 6.6869067 49.8151897)",,,,,,548333595,,,,,False,,,,,False
42917675,residential,,Tannenweg,False,False,44.41613207259881,30.0,5.329935848711858,30,,"LINESTRING (6.6902393 49.8223703, 6.6902183 49.8223544, 6.6900795 49.822229, 6.6900023 49.8221522, 6.6899518 49.8220958, 6.6899006 49.8220366)",,,,,,42917675,,,,,False,,,,,False
42917680,residential,,Im Pflanzgarten,False,False,107.19314402091453,30.0,12.863177282509744,30,,"LINESTRING (6.6902393 49.8223703, 6.6902712 49.8223398, 6.6903148 49.8223062, 6.690368 49.8222744, 6.6904224 49.8222378, 6.6904602 49.8222053, 6.6904963 49.8221684, 6.690565 49.8220783, 6.6905919 49.8220187, 6.690608 49.8219489, 6.6906342 49.8218258, 6.6906687 49.8217516, 6.6907202 49.8216688, 6.6908701 49.8215198)",6,,,,,42917680,,,,,False,,,,,False
153785054,residential,,,False,False,58.59320376780097,30.0,7.031184452136117,30,,"LINESTRING (6.6921863 49.8221567, 6.6914636 49.8224022)",,,,,,153785054,,,,,False,,,,,False
153785053,residential,,Zum Ehranger Wald,False,False,44.88271485590858,30.0,5.38592578270903,30,,"LINESTRING (6.6917742 49.8227516, 6.6915728 49.8225022, 6.691545 49.822473, 6.6915122 49.8224439, 6.6914636 49.8224022)",,,,,,153785053,,,,,False,,,,,False
42917676,residential,,Fichtenweg,False,True,87.60707508063106,30.0,10.512849009675728,30,,"LINESTRING (6.6931889 49.8225354, 6.6931931 49.8226446, 6.6932246 49.8228656, 6.6932555 49.8229812, 6.6932664 49.8230366, 6.6932612 49.823083, 6.6932366 49.8231201, 6.6932132 49.8231456, 6.6931834 49.8231737, 6.6931565 49.8231948, 6.6931043 49.8232395, 6.6930464 49.8232723)",,,,,,42917676,,,,,False,,,,,False
42917673,residential,,Eichenweg,False,True,125.77264313692407,30.0,15.092717176430888,30,,"LINESTRING (6.6919597 49.8242971, 6.6926363 49.8240079, 6.6929942 49.8238034, 6.693169 49.8237042, 6.6932656 49.8236575, 6.6933543 49.8236155)",,,,,,42917673,,,,,False,,,,,False
42917672,residential,,Kiefernweg,False,True,122.28259849610959,30.0,14.673911819533151,30,,"LINESTRING (6.6928727 49.8230677, 6.6925883 49.8231689, 6.6924583 49.8232291, 6.6923524 49.823289, 6.6921903 49.8233943, 6.6920073 49.8234963, 6.6919023 49.8235454, 6.6917528 49.823603, 6.6914731 49.8236786)",,,,,,42917672,,,,,False,,,,,False
"[548337217, 548333594, 42917677]",residential,,"['Tannenweg', 'Zum Ehranger Wald']",False,False,167.40632254087407,30.0,20.088758704904887,30,,"LINESTRING (6.6933543 49.8236155, 6.6934921 49.823732, 6.6935209 49.8237558, 6.6937406 49.8239684, 6.6937772 49.8240082, 6.6937929 49.8240396, 6.6937928 49.8240759, 6.6937809 49.8240968, 6.6937641 49.8241197, 6.6937336 49.8241487, 6.6936996 49.824175, 6.6936599 49.8242001, 6.6936186 49.8242193, 6.6935605 49.824246, 6.6934984 49.8242734, 6.6933273 49.8243412, 6.6931667 49.8244048, 6.6928965 49.824516, 6.692869 49.8245276, 6.6927533 49.8245766, 6.6926903 49.8245984, 6.6926418 49.824611, 6.6925965 49.8246135)",,,,,,"[548337217, 548333594, 42917677]",,,,,False,,,,,False
42917674,residential,,Tannenweg,False,False,28.38499534479851,30.0,3.4061994413758216,30,,"LINESTRING (6.6922203 49.8245387, 6.6923296 49.8245662, 6.6924349 49.8245906, 6.6925405 49.8246101, 6.6925658 49.8246138, 6.6925965 49.8246135)",,,,,,42917674,,,,,False,,,,,False
548333593,residential,,Tannenweg,False,True,46.78359078330397,30.0,5.6140308939964765,30,,"LINESTRING (6.6922203 49.8245387, 6.6922342 49.8245879, 6.6922847 49.8246515, 6.6923407 49.8247193, 6.6923547 49.8247296, 6.6923691 49.8247358, 6.6924004 49.8247301, 6.6924337 49.8247198, 6.6925456 49.8246671, 6.6925727 49.8246463, 6.6925965 49.8246135)",,,,,,548333593,,,,,False,,,,,False
44024623,unclassified,,Eduard-Becking-Straße,False,False,171.29755974543286,47.53488372093023,12.973024583460376,,,"LINESTRING (6.6887717 49.7940005, 6.6868513 49.7945029, 6.6866037 49.7945677, 6.68656 49.7945791)",,,,,,44024623,,,,,False,medium,0.01,100.0,,True
44024624,unclassified,,Tonstraße,False,True,138.14809491406487,47.53488372093023,10.462487814431137,,,"LINESTRING (6.68656 49.7945791, 6.6866333 49.7946959, 6.6871103 49.7954554, 6.687283 49.7957305)",,,,,,44024624,,,,,False,medium,0.01,100.0,,True
44426518,residential,,Breitenbachstraße,False,False,101.92138193073612,33.612927756653995,10.915948102081508,,,"LINESTRING (6.6835529 49.7992219, 6.6836467 49.7991991, 6.6848818 49.7988988)",,,,,,44426518,,,,,False,,,,,False
"[371991256, 44426517]",residential,,"['Lindenplatz', 'Breitenbachstraße']",False,True,152.55679081083662,33.612927756653995,16.339083905307582,,,"LINESTRING (6.6848818 49.7988988, 6.6847006 49.797954, 6.6846414 49.797854, 6.6845503 49.7978634, 6.6843321 49.7978956, 6.684168 49.7979208)",,,,,,"[371991256, 44426517]",,,,,False,,,,,False
"[49836976, 49836977, 316044952]",primary,2,,False,True,467.43907116073876,70.0,24.039723659695134,70,B 53,"LINESTRING (6.6888159 49.7898101, 6.68887 49.7900112, 6.6889103 49.7902112, 6.6889413 49.7904511, 6.6890173 49.7916641, 6.6890349 49.7920317, 6.6891572 49.7940056)",,yes,,,,"[49836976, 49836977, 316044952]",,,,,False,medium,0.01,100.0,,True
"[84596735, 341802501, 140503919]",primary,"['4', '3']",,False,False,109.46315943502086,70.0,5.6295339138010725,70,B 53,"LINESTRING (6.6888159 49.7898101, 6.6887479 49.7895973, 6.6886468 49.7893428, 6.6885712 49.7891959, 6.6884711 49.7889991, 6.6883932 49.7888658)",,,,,,"[84596735, 341802501, 140503919]",,,,,False,,,,,False
"[23031006, 23031007]",residential,2,"['Auf der Bausch', 'Layweg']",False,False,973.8297409221161,30.0,116.85956891065393,30,,"LINESTRING (6.677074 49.7911006, 6.6767174 49.7912286, 6.6766013 49.7912441, 6.6764275 49.7912454, 6.6762327 49.7912199, 6.6760843 49.7912474, 6.6759216 49.7913196, 6.6757874 49.7914084, 6.6755085 49.7916311, 6.6754248 49.7916762, 6.6753328 49.7917016, 6.6752414 49.7917024, 6.6751283 49.7916707, 6.6750677 49.7916166, 6.675034 49.7915213, 6.6749971 49.7913235, 6.6749724 49.7910638, 6.6748852 49.7909648, 6.6746306 49.7908069, 6.6741903 49.790559, 6.6738794 49.7904291, 6.6735286 49.7903538, 6.6730795 49.7903223, 6.6726927 49.7903538, 6.6723415 49.7904141, 6.6717813 49.7905634, 6.6714336 49.7905876, 6.6708728 49.7904936, 6.6704029 49.7904348, 6.6698985 49.7904268, 6.6686955 49.7905623, 6.6682842 49.7906503, 6.6678917 49.7907899, 6.6674822 49.7910342, 6.667221 49.7912026, 6.6670469 49.7913981, 6.6670479 49.7915219, 6.6670917 49.7916415, 6.6672205 49.7918082, 6.6674085 49.7920197, 6.6675724 49.79217)",,,,,,"[23031006, 23031007]",,,,,False,,,,,False
44581631,residential,,Unter-Gerst-Straße,False,True,59.75969415614898,33.612927756653995,6.4003618048281545,,,"LINESTRING (6.677074 49.7911006, 6.677279 49.791329, 6.6773753 49.7914313, 6.6774751 49.7915709)",,,,,,44581631,,,,,False,,,,,False
44581632,residential,,Meisenweg,False,False,44.933542289257076,33.612927756653995,4.812456487349675,,,"LINESTRING (6.6790342 49.7917851, 6.6789373 49.7918089, 6.6784491 49.7919287)",,,,,,44581632,,,,,False,,,,,False
44581633,residential,,Meisenweg,False,False,131.95908347812693,33.612927756653995,14.133035478506207,,,"LINESTRING (6.6784491 49.7919287, 6.678097 49.7913954, 6.677886 49.7911037, 6.6776666 49.7908563)",,,,,,44581633,,,,,False,,,,,False
44581634,residential,,Kestenweg,False,False,212.90019097029577,33.612927756653995,22.801961585787204,,,"LINESTRING (6.6774751 49.7915709, 6.6771465 49.7916643, 6.6770677 49.7916873, 6.6770294 49.7917154, 6.6770471 49.7917611, 6.6773133 49.7922464, 6.6774755 49.7926403, 6.6775184 49.792742, 6.6776027 49.7929931, 6.6776799 49.793246)",,,,,,44581634,,,,,False,,,,,False
