length,speed_kph,elevation_avg,dist_to_river_avg,rain_3d,rain_7d,bridge,flooded_high,flooded_medium,not_flooded,highway_disused,highway_living_street,highway_living_street_residential,highway_motorway,highway_motorway_link,highway_motorway_primary,highway_primary,highway_primary_link,highway_residential,highway_residential_living_street,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_unclassified,highway_unclassified_primary_link,highway_unclassified_residential
37.72468524812116,50.0,132.0,0.0096674482302103,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29.44873124693951,50.0,132.0,0.0098462812857062,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16.087941830620395,50.0,139.0,0.0140897650064464,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.976024753642204,50.0,138.5,0.0139342701028134,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.357179370067112,50.0,140.0,0.0109073442555283,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131.2466016863081,50.0,137.5,0.010293071352111,86.80000305175781,86.80000305175781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236.30359850891645,30.0,139.0,0.0104731280701554,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60.85492289817481,50.0,140.5,0.0112414877584125,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.357179370067112,50.0,140.0,0.0109073442555283,74.4000015258789,74.4000015258789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
405.1267274302044,33.595391008689084,245.0,0.0245523241458197,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
973.1305740824208,30.0,247.0,0.0239642259715088,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
617.7037532167778,30.0,200.5,0.024244325576597,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55.2620922858178,15.5531914893617,268.5,0.0238384532814762,78.69999694824219,78.69999694824219,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.089948669991855,30.0,269.0,0.023483096798413,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
973.1305740824204,30.0,247.0,0.0239642259715088,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.993702892968,50.0,149.0,0.0182384853894623,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55.51972095186108,30.0,150.0,0.018861515473732,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40.35217115727091,30.0,149.0,0.0186583681014267,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36.14944330814366,50.0,147.5,0.0177693504401109,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.993702892968,50.0,149.0,0.0182384853894623,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.042829977010022,50.0,146.0,0.0174965375826085,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176.71846284569958,50.0,145.5,0.0176302756584797,78.69999694824219,78.69999694824219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51.38659737593095,50.0,144.5,0.0171372933596618,78.69999694824219,78.69999694824219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.5863835021607,50.0,143.0,0.0167067558103214,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63.34591311330063,50.0,142.5,0.0167048603132936,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.890999669406437,50.0,143.0,0.0165704663222078,78.69999694824219,78.69999694824219,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157.63761775201246,40.0,145.5,0.0169184679245055,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60.166522856902326,50.0,145.5,0.0169481699794404,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48.48009427801218,50.0,148.0,0.0176316878475411,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.583671818907845,50.0,146.5,0.0174418081934728,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47.91350995848795,50.0,146.5,0.0173588749900387,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148.93785882157752,50.0,145.0,0.0179932745673943,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139.17863376027304,50.0,144.0,0.0169574314172527,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130.75389840455824,50.0,144.0,0.0171116579470804,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.897642624028446,48.05084745762712,143.0,0.0171519784126914,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.331017384708915,33.595391008689084,142.0,0.0170355105456909,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30.440706611495894,50.0,153.0,0.0113577913475037,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.51271051167557,30.0,153.5,0.0114407357452963,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
66.37193342859321,50.0,153.5,0.0115102488956639,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54.07236232721412,50.0,254.0,0.0251563493618073,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.360577732722188,50.0,255.0,0.0253874389334085,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.980538001660094,50.0,255.5,0.0254581097159673,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21.217941303663068,50.0,256.0,0.0256706155163269,78.69999694824219,78.69999694824219,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
