u,v,key,osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,elevation_avg,dist_to_river_avg,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium,not_flooded,cell_id,rain_3d,rain_7d,soil_moistutre
87209201,78260103,0,9809930,residential,,Am Grüneberg,False,True,782.6484603718791,30.0,93.91781524462549,30,,"LINESTRING (6.6719736 49.7661554, 6.6721336 49.7661876, 6.6722083 49.7662028, 6.6723231 49.7662251, 6.6723927 49.7662465, 6.6725718 49.7663207, 6.672628 49.766344, 6.6729694 49.7664757, 6.6731947 49.766616, 6.6733449 49.7667199, 6.6746791 49.767689, 6.6747049 49.7677087, 6.6758984 49.7686187, 6.6760868 49.7687268, 6.6763 49.7688024, 6.6765342 49.768887, 6.6767291 49.7689665, 6.6775274 49.7693036, 6.6776291 49.7693466, 6.6784726 49.7696722, 6.6797692 49.77027, 6.6804374 49.7701247)",,,,,,141.5,0.008352068568813978,,,,,0,,,,,0,1,cell_13_7,74.4000015258789,74.4000015258789,
87209201,293425914,0,26751109,residential,,Am Grüneberg,False,False,91.62317414226763,33.595391008689084,9.818115432169044,,,"LINESTRING (6.6719736 49.7661554, 6.6725138 49.7658002, 6.6725455 49.7657794, 6.6728676 49.7655676)",,,,,,154.0,0.00990714036693733,,,,,0,,,,,0,1,cell_13_6,78.69999694824219,78.69999694824219,
87220845,20833912,0,409871639,secondary,1,Nordallee,True,False,50.38358174713937,50.0,3.627617885794035,50,,"LINESTRING (6.6427413 49.7605249, 6.6426612 49.76054, 6.642082 49.7606792)",,,,,,135.0,0.009218139123395027,,,,,0,,,,,0,1,cell_9_6,86.80000305175781,86.80000305175781,
88930909,290451318,0,10415468,residential,,Nellstraße,False,False,173.55567609779774,30.0,20.82668113173573,30,,"LINESTRING (6.6612696 49.7605418, 6.6612292 49.7605905, 6.6610668 49.7607951, 6.6610458 49.7608587, 6.6610513 49.7609309, 6.6610661 49.7609942, 6.6610976 49.7610664, 6.6612199 49.7612533, 6.6613959 49.7614842, 6.6615861 49.761706, 6.6617166 49.7618196, 6.6617977 49.7618831, 6.6618697 49.7619236)",6.1,,,,,143.0,0.012814905921463851,,,,,0,,,,,0,1,cell_11_6,74.4000015258789,74.4000015258789,
88930909,290451299,0,145813201,residential,2,Domänenstraße,False,False,89.34070359525731,30.0,10.720884431430877,30,,"LINESTRING (6.6612696 49.7605418, 6.6611529 49.7604887, 6.6608969 49.7603715, 6.6608427 49.7603439, 6.66068 49.7602611, 6.6602786 49.7600567)",,,,,,142.5,0.013618513165010913,,,,,0,,,,,0,1,cell_11_6,74.4000015258789,74.4000015258789,
88930909,320700487,0,145813201,residential,2,Domänenstraße,False,True,32.95450785039833,30.0,3.9545409420477995,30,,"LINESTRING (6.6612696 49.7605418, 6.6614856 49.7606344, 6.6616556 49.7607019)",,,,,,145.0,0.013402798088193878,,,,,0,,,,,0,1,cell_11_6,74.4000015258789,74.4000015258789,
89989804,1622444428,0,"[548550498, 548183524]",primary,"['2', '3']",Ascoli Piceno Straße,True,False,59.17819001289074,50.0,4.260829680928134,50,B 49,"LINESTRING (6.6356422 49.7640299, 6.6357686 49.7641975, 6.6358299 49.7643046, 6.6359543 49.7645218)",,,,,,129.5,0.002562164547244847,,,,,0,medium,0.01,100.0,,1,0,cell_9_6,86.80000305175781,86.80000305175781,
89991463,277264566,0,44503637,primary,2,Zurmaiener Straße,True,False,8.02567396721372,50.0,0.5778485256393878,50,B 49,"LINESTRING (6.6592179 49.7720726, 6.6593264 49.7720899)",,,,,,130.0,0.001744506790045253,,,,,0,medium,0.01,100.0,,1,0,cell_11_7,74.4000015258789,74.4000015258789,
89991463,1385111364,0,44841726,unclassified,2,Castelforte-Straße,True,False,18.842028055894644,50.0,1.3566260200244145,50,,"LINESTRING (6.6592179 49.7720726, 6.6592397 49.7720008, 6.6592698 49.7719065)",,,,,,130.0,0.0018309265840161766,,,,,0,medium,0.01,100.0,,1,0,cell_11_7,74.4000015258789,74.4000015258789,
90352989,20909526,0,6073688,primary_link,1,Zurmaiener Straße,True,False,43.62168123170501,50.0,3.140761048682761,50,,"LINESTRING (6.6667079 49.7730589, 6.6661045 49.7730137)",,,,,,131.0,0.0018695175854632692,,,,,0,medium,0.01,100.0,,1,0,cell_12_7,74.4000015258789,74.4000015258789,
90352989,78265692,0,"[251322367, 10504167]",residential,1,Zurmaiener Straße,True,False,44.55395034717677,50.0,3.207884424996728,50,,"LINESTRING (6.6667079 49.7730589, 6.6665875 49.7731302, 6.6665284 49.773167, 6.6664854 49.7732066, 6.6664487 49.7732474, 6.6664237 49.7732889, 6.6663951 49.7733893)",,,,,,130.0,0.0017059986509461356,,,,,0,medium,0.01,100.0,,1,0,cell_12_7,74.4000015258789,74.4000015258789,
90353746,315003635,0,121475036,tertiary,,Parkstraße,True,False,49.47855463669099,50.0,3.562455933841751,50,L 145,"LINESTRING (6.6659927 49.7714648, 6.6660588 49.7713496, 6.666111 49.7712504, 6.6661289 49.7711893, 6.6661396 49.7711275, 6.6661484 49.7710347)",,,,,,132.0,0.003584243266758729,,,,,0,medium,0.01,100.0,,1,0,cell_12_7,74.4000015258789,74.4000015258789,
90353746,132275251,0,205357280,secondary,2,Verteilerring,True,False,50.17578556169751,50.0,3.612656560442221,50,L 145,"LINESTRING (6.6659927 49.7714648, 6.6661531 49.7714214, 6.666288 49.7714041, 6.6664209 49.7714005, 6.6665406 49.7714072, 6.6666683 49.7714336)",,,roundabout,,,132.0,0.0034266454051294125,,,,,0,medium,0.01,100.0,,1,0,cell_12_7,74.4000015258789,74.4000015258789,
91411742,91412562,0,"[10565112, 893966347]",secondary,2,In der Reichsabtei,False,False,241.7665389168846,50.0,17.40719080201569,50,L 145,"LINESTRING (6.6531757 49.7607163, 6.6531102 49.7605792, 6.6530669 49.7604886, 6.6527584 49.7598043, 6.6526906 49.7596663, 6.6526294 49.759551, 6.6526195 49.7595306, 6.6525138 49.7593886, 6.6524041 49.7592798, 6.6522816 49.7591799, 6.6521269 49.7590866, 6.6520313 49.7590478, 6.6519873 49.75903, 6.6518717 49.7589896, 6.6516066 49.7589023)",,,,,,135.0,0.012871960172753941,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91411742,976899384,0,"[48346050, 893966348]",secondary,2,Schöndorfer Straße,False,True,162.6758736205483,50.0,11.712662900679476,50,L 145,"LINESTRING (6.6531757 49.7607163, 6.6532848 49.7609297, 6.6533172 49.7609857, 6.6533328 49.7610126, 6.6534092 49.7610808, 6.6535245 49.7611565, 6.6537031 49.7612778, 6.6538469 49.7613771, 6.6540616 49.7615254, 6.6541514 49.7615874, 6.6544177 49.7617613, 6.6544584 49.761787, 6.6545633 49.761841)",,,,,,132.5,0.011648416198429554,,,,,0,,,,,0,1,cell_11_6,74.4000015258789,74.4000015258789,
91412562,91411742,0,"[10565112, 893966347]",secondary,2,In der Reichsabtei,False,True,241.76653891688457,50.0,17.40719080201569,50,L 145,"LINESTRING (6.6516066 49.7589023, 6.6518717 49.7589896, 6.6519873 49.75903, 6.6520313 49.7590478, 6.6521269 49.7590866, 6.6522816 49.7591799, 6.6524041 49.7592798, 6.6525138 49.7593886, 6.6526195 49.7595306, 6.6526294 49.759551, 6.6526906 49.7596663, 6.6527584 49.7598043, 6.6530669 49.7604886, 6.6531102 49.7605792, 6.6531757 49.7607163)",,,,,,135.0,0.012871960172753941,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91412562,1403856534,0,"[893966346, 10565349]",secondary,2,Roonstraße,True,False,42.25726119754225,50.0,3.042522806223042,50,L 145,"LINESTRING (6.6516066 49.7589023, 6.651158 49.7587872, 6.6510628 49.7587577)",,,,,,137.5,0.013657068657024757,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91412565,4846543455,0,893978228,secondary,2,Roonstraße,True,False,9.225635472372257,50.0,0.6642457540108025,50,L 145,"LINESTRING (6.6505794 49.7586162, 6.6504631 49.758581)",,,,,,137.0,0.013740279116049765,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91412568,279813958,0,813943162,residential,,Thebäerstraße,False,True,94.18836826341965,30.0,11.302604191610357,30,,"LINESTRING (6.6492126 49.7598738, 6.6499953 49.7605534)",7,,,,,135.5,0.011988009801283197,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91412568,4846543455,0,5556978,residential,,Moltkestraße,True,False,169.99661244412783,30.0,20.39959349329534,30,,"LINESTRING (6.6492126 49.7598738, 6.6504143 49.7586825, 6.6504492 49.7586292, 6.6504631 49.758581)",,,,,,136.5,0.01300007534017631,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
91412570,1403856489,0,44129319,secondary,1,Bismarckstraße,True,False,10.974674127032703,50.0,0.7901765371463546,50,L 145,"LINESTRING (6.6510664 49.7584518, 6.6511481 49.7585352)",,,,,,137.0,0.01394780989524996,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
91412570,91412565,0,135976484,residential,1,Moltkestraße,True,False,39.89859572769825,33.595391008689084,4.275436013903338,,,"LINESTRING (6.6510664 49.7584518, 6.65087 49.7585287, 6.6506979 49.7585956, 6.6506461 49.7586124, 6.6505794 49.7586162)",,,,,,137.0,0.013857439503393888,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
91417290,91417303,0,"[894065512, 361575224, 142241938]",secondary,2,,True,False,51.004855152958086,50.0,3.6723495710129823,50,L 145,"LINESTRING (6.6492699 49.7576562, 6.6492931 49.7576246, 6.6494088 49.7574669, 6.6494568 49.7573779, 6.6494533 49.7573477, 6.6494508 49.7573256, 6.6494207 49.7572778, 6.649379 49.7572346)",,,,,,139.0,0.014662525412584495,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
91417303,10602435,0,6073356,secondary,2,Balduinstraße,True,False,117.31082219364673,50.0,8.446379197942566,50,L 145,"LINESTRING (6.649379 49.7572346, 6.6485822 49.756399, 6.6485197 49.7563375)",,,,,,138.0,0.015184076544756099,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
91417731,3274396662,0,315153897,secondary,5,Ostallee,True,False,31.143180708808803,50.0,2.242309011034234,50,L 145,"LINESTRING (6.6497591 49.7571098, 6.6499911 49.7573464)",,,,,,138.0,0.014974191617751936,,,,,0,,,,,0,1,cell_10_5,78.69999694824219,78.69999694824219,
